,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
201,18547,S1897,41.0,432348.0,635214.7,93,47.0,431778.0,635138.6
199,18038,Punch,19.0,455940.1,630816.0,93,23.0,455955.2,630674.8
198,14389,M16A4,23.0,627555.9,378976.0,93,6.0,627612.4,378919.4
197,21488,P92,49.0,159135.4,276846.5,93,18.0,158970.7,276605.3
196,5150,P92,10.0,423767.1,325069.9,93,25.0,423784.3,324885.1
200,12737,Punch,19.0,528618.6,627285.7,93,43.0,528627.9,627413.6
216,472,Punch,3.0,234714.5,474444.6,94,91.0,234655.7,474301.2
223,18578,SCAR-L,38.0,437944.7,623270.1,94,42.0,437651.1,623338.4
222,23292,Punch,33.0,358954.1,400288.2,94,42.0,358940.2,400404.9
221,5878,S686,42.0,157739.6,275617.0,94,41.0,157943.0,275596.4
220,22249,SKS,1.0,444537.1,335000.5,94,86.0,444138.2,334992.4
219,21163,Punch,18.0,367204.6,509300.2,94,17.0,367276.0,509264.2
218,24680,S1897,50.0,202027.3,269749.8,94,88.0,201697.1,270537.8
217,898,Mini 14,44.0,421231.3,324051.4,94,50.0,421198.5,324310.4
215,19440,Micro UZI,24.0,625002.8,378150.8,94,28.0,624876.3,378488.3
224,22245,S686,38.0,379553.5,474644.7,94,88.0,380310.8,474553.7
213,22285,Punch,58.0,426997.6,643549.8,94,87.0,427067.6,643595.4
206,925,Down and Out,24.0,418965.7,324781.2,94,50.0,419005.3,324898.8
207,17430,Tommy Gun,36.0,602950.1,599347.3,94,27.0,602930.4,599708.4
208,8033,M416,29.0,440658.3,337068.8,94,80.0,435776.2,336988.2
214,1063,S1897,7.0,363029.6,394138.5,94,28.0,363129.7,393955.7
210,18680,S1897,26.0,199999.9,289849.5,94,26.0,200006.0,289674.4
211,1678,S12K,28.0,450085.1,620772.4,94,2.0,450264.6,620692.8
212,20839,S686,23.0,437794.4,638047.0,94,29.0,436916.9,637679.2
209,19078,SCAR-L,28.0,685375.6,459897.9,94,25.0,685764.6,459811.6
235,20152,S686,42.0,566069.9,382009.8,95,24.0,565980.3,382265.2
